i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
13,sample-1,18339768,0xd2f2d6ce567f227e0e3ac5a5afa71ce1f8733ae01d307cf0dfa1ed4a0f2435d5,1697179523,0x604fde2f207f1bab24f1938f8402066d1240f5067bc2f06513d3934c6b5ae474,127,102,0x2b6755561b137b7cac2b9cc7e2c606c5b541c4c1,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52260,5560158417,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,8313900,1,51894,2503690,0
13,sample-1,18339647,0xac8bd5d3df0e2d25775d75416428aeecc8861d07d8cc157841c5fc1f1afa0695,1697178035,0xf8f79f9e18c56e0a2c42e283d110513eb2b44a4faf91292b5a9e1d2d23604655,39,105,0x5a0f14da041a94917a6019a06dfddebcd74109ac,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,5540700033,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,7643295,1,51894,2503811,0
13,sample-1,18337248,0x3d4fe170401a152654a1a4d06353bddb8ebcfef0eb5812ec74a9ae4e204873e8,1697148899,0xcb7f7362089e7749f590579bd1bd8eca8cace9c6f02c1857712dacbdcdce62e5,3133,103,0x19c8823e9f039f46b855ebc7447a5a65c89ccca7,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,6110449722,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11133038,1,51894,2506210,0
13,sample-1,18327803,0x070028347c5b1cb1df8a2713b5974fc9112472f22cf009ea8c577e8dda341ec5,1697034527,0xc6960e5bedb7d8949ceb51e8a596f4ae9c84c925a5eb977f6bc8305b4d6fc975,8,94,0xd1b95be6448619ea2cbdeb88635d5c67562f9b1a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,8504581933,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,6350673,1,51894,2515655,0
13,sample-1,18327712,0x901dacbea6c37b9770a8c442f759ac84dfc0e411b7788e8d5d9671fe447b19bb,1697033435,0x5d31db068917b5203fee0f5245491a17c29e7a95f5fb61cca43bc33efdc3ab1d,11,126,0x07b4b6c62b8d2bbf3ff3ceaa25ac3d89d6e3ed3a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,12457973553,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,16828231,1,51978,2515746,0
13,sample-1,18327694,0xbd430c24ae01f6a4b442184224ac40fd3aa7dcd3faf39bd8e6553458a2c7b706,1697033219,0xa5d6166e2cceb74485abbba52505fd947eb39b85c43ec7c306985f89494a4aad,9,111,0x60cd373a0877b24ed8aa0c6673d41ab885247e89,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,12148858582,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11590734,1,51978,2515764,0
13,sample-1,18325283,0x6762b45bea144f903a2142c63fe92948e6344d3d5f93b6cc82c6c73c68d04da3,1697004059,0x4575ff26abf43d3fb3974de8c590d1b4918b6acad473959b6f62181b74a19204,1196,78,0x591e0fc14f6fdd6fe260f60329efd6d5f7f5caec,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,6934616027,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,7140730,1,51894,2518175,0
13,sample-1,18323631,0xf12342deffb34cf674eb3c33beaaa955d53df252613891c28e4dd33e53fd2d18,1696984115,0x3060e5da25bb39ef8398320cc593ce861d5208a08984cf3e8ea99bea895ec4ce,3,105,0xd7333a0a19d7a579f55ff6d39113520d2e6b990a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,5528081104,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10952083,1,51894,2519827,0
13,sample-1,18318702,0x91d60c29db14abbfa4937df362849a848ee62a6610f3d746dc431c12783078a2,1696924559,0xb910b1115b557a8d15b0dbe460551aa6a249d22659b55cb05c1e386cd4e35a85,13,99,0x76770ec3ddc095a9538885aea9c2eb1feb579104,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,6389530841,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10023211,1,51894,2524756,0
13,sample-1,18314649,0x966ee01ee749ec5e964e388a416a9fb6a4ec92e7516405cd42df63e03af9ea76,1696875455,0x235c59bf0aa03f74d1357deaa9dcd6a9532271c991e47463a97a4cd4d6688d74,4,94,0x8acf63673ee65018e0bfb0badbd1f66349f00a9e,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,10007387355,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,12700558,1,51978,2528809,0
